price.EUR,price.USD,price.GBP,price.INR,price.CAD,price.AUD
360.0,,,,,
,,,21499.0,,
580.0,,,,,
70.0,,,,,
,,,,,
110.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
100.0,,,,,
70.0,,,,,
,,,,,
50.0,,,,,
100.0,,,,,
,,,,,
,,,,,
80.0,,,,,
70.0,,,,,
60.0,,,,,
70.0,,,,,
80.0,,,,,
90.0,,,,,
360.0,,,,,
100.0,,,,,
60.0,,,,,
50.0,,,,,
,,,12000.0,,
140.0,,,,,
,,,7000.0,,
100.0,,,,,
,,,10000.0,,
,,,10000.0,,
,,,,,
,,,5000.0,,
50.0,,,,,
,,,4500.0,,
,,,10000.0,,
,,,19000.0,,
,,,12000.0,,
,,,14000.0,,
,,,2900.0,,
,,,7200.0,,
,,,5700.0,,
,,,8000.0,,
,,,7000.0,,
,,,8500.0,,
,,,4400.0,,
,,,9000.0,,
,,,10000.0,,
80.0,,,,,
130.0,,,,,
120.0,,,,,
,,,5400.0,,
90.0,,,,,
150.0,,,,,
100.0,,,,,
190.0,,,,,
240.0,,,,,
,,,,,
,,,,,
130.0,,,,,
,,,22610.0,,
,,,,,
109.79,,,,,
,,,,,
,,,,,
159.98,,,,,
137.25,,139.37,,,
,,,,,
,,,,,
410.0,,,,,
270.0,,,,,
130.0,,,,,
,,,,,
145.94,,,,,
,,,69999.0,,
,,,46663.0,,
231.99,,,13999.0,,
,,,15299.0,,
,,,,,
150.0,,,,,
,,,6899.0,,
114.94,,,6899.0,,
,,,,,
,,,15999.0,,
,,,,,
,,,,,
,,,,,
,,,,,
240.0,,,,,
459.98,,,19999.0,,
,,,39999.0,,
,,,,,
,,,22999.0,,
80.0,,,,,
150.0,,,,,
,,,15999.0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,9499.0,,
,,,13999.0,,
140.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
290.0,,,,,
,,,,,
330.0,,,,,
140.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
180.0,,,,,
10.0,,,,,
330.0,,,,,
50.0,,,,,
80.0,,,,,
,,,,,
40.0,,,,,
190.0,,,,,
360.0,,,,,
120.0,,,,,
450.0,,,,,
120.0,,,,,
40.0,,,,,
,,,,,
260.0,,,,,
10.0,,,,,
90.0,,,,,
160.0,,,,,
80.0,,,,,
330.0,,,,,
80.0,,,,,
70.0,,,,,
90.0,,,,,
90.0,,,,,
170.0,,,,,
70.0,,,,,
120.0,,,,,
170.0,,,,,
170.0,,,,,
200.0,,,,,
150.0,,,,,
200.0,,,,,
100.0,,,,,
280.0,,,,,
90.0,,,,,
280.0,,,,,
350.0,,,,,
70.0,,,,,
150.0,,,,,
350.0,,,,,
650.0,,,,,
70.0,,,,,
100.0,,,,,
1480.0,,,,,
230.0,,,,,
20.0,,,,,
130.0,,,,,
,,,,,
90.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
80.0,,,,,
30.0,,,,,
900.0,,,,,
,,,,,
10.0,,,,,
300.0,,,,,
,,,,,
10.0,,,,,
40.0,,,,,
200.0,,,,,
10.0,,,,,
120.0,,,,,
20.0,,,,,
20.0,,,,,
80.0,,,,,
60.0,,,,,
40.0,,,,,
50.0,,,,,
500.0,,,,,
90.0,,,,,
10.0,,,,,
10.0,,,,,
20.0,,,,,
20.0,,,,,
30.0,,,,,
20.0,,,,,
310.0,,,,,
250.0,,,,,
140.0,,,,,
80.0,,,,,
60.0,,,,,
20.0,,,,,
70.0,,,,,
50.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
330.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
460.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
160.0,,,,,
,,,,,
200.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
240.0,,,,,
,,,,,
,,,,,
160.0,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
210.0,,,,,
,,,,,
160.0,,,,,
100.0,,,,,
200.0,,,,,
,,,,,
,,,,,
,,,,,
220.0,,,,,
,,,,,
179.99,117.36,139.99,,,
,,,,,
,120.1,118.0,,,
,,,,,
,,,,,
160.0,,,,,
,,,,,
250.0,,,,,
440.0,,,,,
320.0,,,,,
460.0,,,,,
140.0,,,,,
340.0,,,,,
650.0,,,,,
330.0,,,,,
900.0,,,,,
450.0,,,,,
110.0,,,,,
440.0,,,,,
300.0,,,,,
440.0,,,,,
530.0,,,,,
230.0,,,,,
110.0,,,,,
